MODEL,TEST_ACC,TEST_PREC,TEST_REC,TEST_SPEC,TEST_F1,TEST_ROC,MEAN
DT,0.7832766891508157,0.8004275068792802,0.6980136192991061,0.883092526874806,0.6900936776402044,0.7422500800519579,0.766192349982695
KNN,0.7682656110138609,0.7590283684968031,0.6782893907563525,0.8502425854406286,0.6730567267127093,0.72647962710192,0.7425603849203791
LOGREG,0.7820657897428682,0.7529929951782514,0.6329820323343226,0.8860287552614237,0.6575016227353683,0.7369338614323867,0.7414175094474368
PERC,0.7015541420657713,0.6139886481037639,0.6152410704634965,0.7614252672341202,0.5791364700245437,0.6786101731372463,0.658325961838157
RF,0.7933084172649579,0.7647790221124393,0.6690861277389777,0.8503900028749601,0.6992955708612817,0.752849087383777,0.7549513713727323
SVM,0.7908951850896874,0.8069137644551961,0.7486165037933947,0.9635857485791263,0.7064681878282776,0.7546414766162034,0.7951868110603143
