MODEL,TEST_ACC,TEST_PREC,TEST_REC,TEST_SPEC,TEST_F1,TEST_ROC,MEAN
DT,0.696592482715982,0.8002213114227708,0.31564707148445575,0.002013898633046339,0.6874571210836405,0.6747814597598785,0.5512909183680264
KNN,0.3541386790572061,0.11755477478407421,0.15363153160339385,0.00013677321719838853,0.4169280768322733,0.3513400236485097,0.27371920069989925
LOGREG,0.6672165401885204,0.08993546572238809,0.0749582019813031,0.05173847514707307,0.31664138099965333,0.5652809343601426,0.32717000462009216
PERC,0.007784512773361309,0.00011480774463249264,0.050094245695617205,7.751683518103041e-05,0.017409158880468848,0.024817834211587477,0.013765100993838533
RF,1.0,0.12535960943784788,0.12396749110691671,1.493090551635265e-05,0.8587904328889591,0.9503810441407472,0.3945037137931344
SVM,0.9242871357299476,1.0,1.0,1.0,1.0,1.0,1.0
