MODEL,CARDIO,AUS,CHESS,SHROOMS,AIRBNB,OLYMPIC,MEAN
DT,0.0024173684940223487,0.4399508338070519,0.040054192654747314,0.028160568151675756,0.00014263328246830512,1.0,0.7037383254514431
KNN,7.965779516541808e-11,0.3318244033538458,1.1794391953461625e-05,,0.0004928898618666415,0.699823943206496,0.5198540303171563
LOGREG,0.023316902439002238,0.9423125617317162,0.05362860478024081,,0.0978288620494586,0.011458309691159449,0.5454913516111859
PERC,0.0009214725857432991,0.00010190339729694966,2.9798608071552144e-05,0.007619423921773929,2.2080792744987776e-09,0.04637755305991607,0.16176638767991833
RF,0.00011912102196115502,0.34639274985378565,0.0011361338459370041,,0.0011673872123000159,0.35472589431697843,0.6162092590759192
SVM,1.0,1.0,1.0,,1.0,0.9073747174544813,1.0
