MODEL,TRAIN_ACC,TRAIN_PREC,TRAIN_REC,TRAIN_SPEC,TRAIN_F1,TRAIN_ROC,MEAN
DT,8.28702110777474e-08,1.70156924865099e-08,1.8536181301797562e-10,0.0003219984221020042,5.9851055266631415e-12,1.3617010504316017e-11,7.161808781345943e-05
KNN,2.04067254346467e-08,6.789643092904468e-09,0.0005382398742987161,1.7647435122968312e-05,0.0006427847466904226,4.332875770295501e-05,0.00015919924342297346
LOGREG,1.854892490729155e-08,3.3710455911158166e-10,3.6950469038633455e-08,0.015201123759168872,3.854538632047192e-10,1.250001035674235e-12,0.00033363279655555437
PERC,3.257160284211781e-10,4.4483090000298817e-10,6.357903006227327e-08,1.5411049002565943e-05,6.634743110657681e-12,6.718829333272192e-15,1.4040767610681789e-06
RF,1.0,1.0,1.0,0.054563963846965234,1.0,1.0,1.0
SVM,2.8426998278895283e-07,1.0153142488754239e-05,4.506495061120336e-06,1.0,8.881075461938502e-12,7.155814506483902e-11,0.005747170106224216
