MODEL,TRAIN_ACC,TRAIN_PREC,TRAIN_REC,TRAIN_SPEC,TRAIN_F1,TRAIN_ROC,MEAN
DT,0.8014095237619049,0.8219383627208899,0.8167557197653205,0.9064705787859754,0.7736485743483777,0.8000728826174667,0.8200492736666557
KNN,0.7869571428095239,0.7811650970028526,0.8726327376742744,0.8792350766343087,0.8616244443257205,0.8425121502420932,0.837354441448129
LOGREG,0.7862619046904763,0.770186441835448,0.639266899028426,0.8873047346122486,0.667421293466532,0.7441305401011888,0.7490953022890533
PERC,0.7058904761190478,0.6225894569389463,0.619338071902484,0.7642052581437553,0.5830946504688329,0.683129687717796,0.6630412668818104
RF,0.9252904761190477,0.934050429742355,0.9552501014715385,0.9556932037739568,0.948711941548714,0.9495184259631593,0.9447524297697952
SVM,0.8139761905,0.845973502488275,0.8132351279933775,0.9805145223147559,0.7714502171327995,0.7995863922415697,0.8374559921117961
