MODEL,CARDIO,AUS,CHESS,SHROOMS,AIRBNB,OLYMPIC,MEAN
DT,0.7391881813711482,0.7119839414712034,0.6792587476666667,0.9997742926666667,0.8257116215538187,0.6412373151666666,0.766192349982695
KNN,0.6667715590799133,0.6995815375658821,0.6345430658333334,1.0,0.8297607197098125,0.6247054273333333,0.7425603849203791
LOGREG,0.71427075658313,0.7395792887519296,0.675993922,1.0,0.8272923768495613,0.4913687125000001,0.7414175094474368
PERC,0.6557489568555009,0.48589468104526046,0.5823364386666666,0.9998828911666667,0.6843990822948474,0.541693721,0.6583259618381571
RF,0.7288082215762511,0.7048684866516965,0.663365547,1.0,0.8328976036751126,0.5997683693333333,0.7549513713727323
SVM,0.7950961746298058,0.7423910129827633,0.7295060360000001,1.0,0.8681462515826494,0.6359813911666667,0.7951868110603142
