,dataset,model,trial,train_accuracy,train_precision,train_recall,train_specificity,train_f1,train_roc_auc,test_accuracy,test_precision,test_recall,test_specificity,test_f1,test_roc_auc
0,chess,svm,1,0.6738,0.6865846514352666,0.7262388302193339,1.0,0.6772214526024144,0.6741168679611738,0.6678841811661576,0.7026255707762558,0.6815227483751161,1.0,0.6761639577802241,0.667851400231321
1,chess,svm,2,0.6826,0.6823642479577127,0.7340297308155886,1.0,0.6822822822822823,0.6826088153066643,0.6650949661309603,0.6657246035484378,0.683839190628328,1.0,0.666842835436348,0.6651102030372749
2,chess,svm,3,0.6758,0.8060941828254847,0.704281712685074,1.0,0.6846916942229139,0.6758113881298222,0.6633018993226192,0.7862523540489642,0.6994134897360704,1.0,0.674248265227448,0.6634309375625826
3,chess,svm,4,0.6804,0.6808681672025724,0.7886701486540779,1.0,0.6968892261001518,0.6806525374331247,0.663766768495152,0.6525652565256526,0.7677050053248137,1.0,0.6864044595850108,0.6639331482561905
4,chess,svm,5,0.6808,0.662703804347826,1.0,0.9926410466067048,0.7097126227719169,0.6789654181054713,0.6634347190862,0.63737152096085,1.0,0.6180528182893181,0.685334657891469,0.6642715164387618
5,chess,svm,6,0.6768,0.6730769230769231,1.0,0.999199038846616,0.7229741305465136,0.6767304144917968,0.6640324080223137,0.6529411764705882,1.0,0.6978835978835979,0.6951275045537341,0.6642566765599575
6,chess,svm,7,0.7154,0.712248322147651,0.712620578778135,1.0,0.7212536728697355,0.7155172855182583,0.6538052862265905,0.6630026436621678,0.6991880740050579,1.0,0.6630034262072532,0.6538662430669102
7,chess,svm,avg,0.6836571428571429,0.7005628998562052,0.8094058573074585,0.9988342979219029,0.6992892973422755,0.6834861038494731,0.6630457469214275,0.680069017998988,0.7902383582956265,0.9022766308818451,0.6781607295259268,0.6632457321647139
