dataset,model,trial,train_accuracy,train_precision,train_recall,train_specificity,train_f1,train_roc_auc,test_accuracy,test_precision,test_recall,test_specificity,test_f1,test_roc_auc
cardio,tree,1,0.7272,0.769610261470153,0.6574074074074074,0.8143879173290938,0.7053995680345573,0.7267561679326385,0.7180923076923077,0.7600480354261268,0.6517618095091553,0.8032918012613444,0.698032365446096,0.7180821045699906
cardio,tree,2,0.7308,0.8254545454545454,0.771585557299843,0.884584013050571,0.7361818894551156,0.7306776770188562,0.7165692307692307,0.8235209096164965,0.7575776263451636,0.8883293929810556,0.7172868871326634,0.7165778500612016
cardio,tree,3,0.7276,0.7735498839907192,0.721763085399449,0.8174054493696624,0.7389142146705346,0.7287931362019129,0.7239846153846153,0.7538612405001226,0.6918737283433011,0.8030833486886555,0.7114739573444718,0.7238695891642137
cardio,tree,4,0.7372,0.7878934624697337,0.746233148295004,0.8232445520581114,0.7244127516778524,0.7376654448120463,0.7245692307692307,0.7614937339737802,0.6893120128169579,0.7970684939925636,0.7138953256092689,0.7245211381203166
cardio,tree,5,0.735,0.7975186104218362,0.7341822522881019,0.8078005629272216,0.7436643124221023,0.7354556467206873,0.7268769230769231,0.7755327665739011,0.7060001232058153,0.8038052498924202,0.711856333063402,0.726787572228576
cardio,tree,6,0.7348,0.7475247524752475,0.7323541411668707,0.7999215378579835,0.7202531645569621,0.7340627975643124,0.7314461538461539,0.7617243190515495,0.6730201672405313,0.8044161123429416,0.720962946385754,0.7314790641226852
cardio,tree,7,0.7414,0.7843137254901961,0.7142286171063149,0.8194555644515612,0.7480117203850982,0.7414566345322461,0.7226307692307692,0.7729913770770882,0.6591433937863719,0.8113950127602004,0.6950813278952244,0.7225772702895867
cardio,tree,avg,0.7334285714285713,0.7836950345389188,0.7253934584232845,0.8238285138634579,0.7309768030288889,0.7335525006832428,0.7234527472527473,0.7727389117455807,0.6898126944638995,0.8159127731313116,0.7097984489824114,0.7234135126509386
cardio,log_reg,1,0.7292,0.7607390300230947,0.0,1.0,0.7088172043010752,0.7287818509046131,0.7266461538461538,0.7578168816601234,0.0,1.0,0.7088740332940097,0.7266367793286812
cardio,log_reg,2,0.652,0.6617293835068054,1.0,0.6586460032626428,0.6882726361510191,0.6520637367759251,0.6477846153846154,0.6492348136325228,1.0,0.6612115815652921,0.6815558408881626,0.6477674149308047
cardio,log_reg,3,0.728,0.76326348640214,1.0,0.7840585603904026,0.7158378604262433,0.7288979643965041,0.7267692307692307,0.7471496317223287,1.0,0.7691173760825503,0.71447863412752,0.726689756587384
cardio,log_reg,4,0.6528,0.6680923866552609,1.0,0.6868442292171105,0.6690895874977286,0.6530969758298083,0.6497846153846154,0.6567178658043654,1.0,0.673785453092831,0.6697126300686734,0.6497528183601998
cardio,log_reg,5,0.7272,0.7518567059851463,1.0,1.0,0.7163002903359601,0.7274235095316978,0.7256153846153847,0.7443867013125458,1.0,1.0,0.7131058673469387,0.725576827234852
cardio,log_reg,6,0.7216,0.7491764705882353,0.64953080375357,0.0,0.695804195804196,0.7202145976398292,0.7253076923076923,0.7593961036665134,0.6602926709296606,0.0,0.7063853579122197,0.725363753548102
cardio,log_reg,7,0.6582,0.6741326306543698,0.6402877697841727,1.0,0.6423938062356142,0.6582357812709,0.6654769230769231,0.6797280551927392,0.6606213628106045,1.0,0.6511806981519508,0.6654482518552665
cardio,log_reg,avg,0.6955714285714285,0.7184271562592931,0.7556883676482489,0.7327926846957364,0.6909307972502624,0.6955306309070396,0.6953406593406594,0.7134900075701627,0.7601305762486092,0.7291592015343819,0.6921847231127821,0.6953193716921844
cardio,perceptron,1,0.6596,0.8137108792846498,0.9371980676328503,0.6526232114467408,0.6798072711344721,0.6581856792854235,0.6588307692307692,0.8208988023294144,0.9309432220341591,0.6455314566989694,0.6823585139737892,0.6587962380780175
cardio,perceptron,2,0.5386,0.8077922077922078,1.0,0.9702283849918434,0.6808687231982294,0.5302361062382036,0.5321846153846154,0.8272894898586355,1.0,0.9750990205410053,0.6747459621349877,0.5331175793351908
cardio,perceptron,3,0.7168,0.7852084972462627,0.0,0.7836518910126068,0.0,0.7184233071326864,0.7136461538461538,0.7657882516833062,0.0,0.7645722007247712,0.0,0.713475443881284
cardio,perceptron,4,0.5338,0.8146417445482866,0.6764472640761301,0.4245359160613398,0.6892417368762151,0.5299039157592363,0.5231384615384616,0.8066573880770123,0.6864466833040639,0.4119165411916541,0.6870961741179389,0.5237387118512457
cardio,perceptron,5,0.5024,0.8421052631578947,0.0,0.9662243667068757,0.6398169336384439,0.49981767506993385,0.4996769230769231,0.8238957277335265,0.0,0.9626237167271162,0.6557469941387919,0.5001969583220675
cardio,perceptron,6,0.7098,0.7475247524752475,0.9771521827825378,0.7999215378579835,0.6754641019906062,0.7079983046287063,0.7141846153846154,0.7616279069767442,0.9816158386620758,0.8042929292929293,0.6861188078664594,0.7142621803375616
cardio,perceptron,7,0.5706,0.768566493955095,0.7302158273381295,0.9463570856685348,0.3010204081632653,0.5708338053336354,0.5844153846153847,0.7651930012020837,0.7122886966160668,0.9459459459459459,0.30888578910016395,0.5842130921171368
cardio,perceptron,avg,0.6045142857142858,0.7970785483513777,0.6172876202613783,0.7919346276779893,0.5237455964287474,0.6021998276354036,0.6037252747252747,0.7959072239801033,0.6158992058023379,0.7871402587317702,0.5278503201903045,0.6039714577032148
cardio,knn,1,0.6884,0.7089350180505415,0.6658615136876006,0.7488076311605724,0.6685106382978724,0.6880441822897065,0.6624461538461538,0.682355380468588,0.6084320664717648,0.7497923396400554,0.6428466784952712,0.6624377269216031
cardio,knn,2,0.6762,0.6969054684188215,0.6452119309262166,0.7084013050570962,0.6700631750560424,0.6768066179916565,0.6643846153846154,0.6749736286919831,0.6313712188955012,0.6965826399336793,0.6524447560023579,0.6643146738955383
cardio,knn,3,0.6906,0.6986363636363636,0.6792601338055884,0.7303782025213501,0.6805698946933718,0.6913008922879899,0.6622615384615385,0.6850643747195472,0.629046180405697,0.7197960813217862,0.6502572926125954,0.6621984705239486
cardio,knn,4,0.6724,0.7029384756657484,0.6835844567803331,0.7380952380952381,0.6890721649484536,0.6729801155801506,0.6616615384615384,0.6791767969044277,0.62051329451274,0.7181575146728943,0.6416887885676136,0.6615947108057944
cardio,knn,5,0.6836,0.7047954245490541,0.6685236768802229,0.7386409328508243,0.6690406367825723,0.6838410510620206,0.6635076923076924,0.6778949489521763,0.630012936610608,0.7142374131677629,0.6467738312959219,0.6634640293154253
cardio,knn,6,0.6682,0.6874371859296482,0.6585067319461444,0.7559827383287564,0.6314152410575428,0.6664999626256423,0.6605846153846154,0.7000688178620584,0.5934272011805214,0.7584072431633407,0.6281601833749074,0.6606602319125414
cardio,knn,7,0.6796,0.7001870907390084,0.6398880895283773,0.7433947157726181,0.6624525916561315,0.679641074970288,0.6651538461538462,0.6931437826165197,0.6161591279982757,0.737847062079144,0.6459881914737886,0.6651158658899816
cardio,knn,avg,0.6798571428571428,0.6999764324270265,0.6629766476506405,0.7376715376837794,0.6673034774988551,0.6798734138296363,0.6628571428571429,0.6846682471736144,0.6184231465821582,0.7278314705683805,0.644022817403208,0.6628265298949761
