DATASET,MODEL,TRIAL,TRAIN_ACC,TRAIN_PREC,TRAIN_REC,TRAIN_SPEC,TRAIN_F1,TRAIN_ROC,TEST_ACC,TEST_PREC,TEST_REC,TEST_SPEC,TEST_F1,TEST_ROC
AIRBNB,DT,1,0.8464,0.8138544891640866,0.8490109002826,0.8093539437177962,0.8441558441558441,0.8463391541460069,0.8207312905797927,0.8061774370208105,0.8384671466326438,0.7984418424529591,0.8200260732337672,0.8207310266078862
AIRBNB,DT,2,0.8516,0.8490808037622916,0.8773204196933011,0.8600317208564632,0.8565799842395587,0.8515673853783235,0.8220070623077801,0.8364479281173828,0.8467988152198679,0.8441002277904328,0.8268666014060693,0.8220073843752058
AIRBNB,DT,3,0.8384,0.8448121645796064,0.8370763576970192,0.8639749117992944,0.8358390898008939,0.838430681312335,0.8263127918897368,0.8471596255757515,0.830253936470374,0.859221750832535,0.827550327980095,0.8263053317877649
AIRBNB,DT,4,0.823,0.8283828382838284,0.8441663302381913,0.8810939357907254,0.8196785574284594,0.8228874891970857,0.8193643922998064,0.8337539882851565,0.8390139433154106,0.8588546175224384,0.8232953275206796,0.8193629169684374
AIRBNB,DT,5,0.853,0.8508596561375451,0.8404340836012861,0.8515127388535032,0.8342309994015559,0.8529342116042353,0.8150358810798496,0.8123761484417222,0.826031456576248,0.8102914389799636,0.8203073719472173,0.8150277116567703
AIRBNB,DT,6,0.8258,0.8049728049728051,0.8488324457189677,0.9097303634232122,0.8263210368893321,0.8263310333323248,0.8188176329878118,0.8071819575213488,0.8385042307342371,0.8078766029297677,0.8225450164000268,0.8187866382530766
AIRBNB,DT,7,0.858,0.8652977412731007,0.8457211731619124,0.8693747510951813,0.8558082859463851,0.8579497299067711,0.8201389679917986,0.8264428219318235,0.8388346858758092,0.8300623833158781,0.8182425121440248,0.8201328603002296
AIRBNB,DT,avg,0.8423142857142857,0.8367514997390378,0.8489373871990397,0.8635817665051679,0.8389448282660041,0.8423485264110118,0.8203440027337966,0.8242199866991422,0.8368434592606558,0.8298355519748536,0.8226904615188398,0.8203362671356244
AIRBNB,LOGREG,1,0.8296,0.8294270833333334,0.8413403310456197,0.0,0.830609804703069,0.8301033799500789,0.8207085089417929,0.8258906420561675,0.8320422856101339,0.0,0.822707817075918,0.8206637233326536
AIRBNB,LOGREG,2,0.8218,0.8237122557726465,0.8329297820823245,1.0,0.8216216216216217,0.8218548444391534,0.8206173823897939,0.8216595363645408,0.8349965823650034,1.0,0.8220243207811582,0.8206182935076354
AIRBNB,LOGREG,3,0.8208,0.8476084538375973,0.8313597386688444,1.0,0.8196457326892108,0.8210111119843634,0.8234650871397653,0.8549324200354719,0.8360790024574497,1.0,0.8258377722338346,0.8234498383483818
AIRBNB,LOGREG,4,0.8194,0.8149134487350199,0.8300363342753331,1.0,0.8197964478148074,0.8194896015998794,0.8215969928237841,0.8299913260880657,0.8314499225371366,1.0,0.8222610590344764,0.8215972520109779
AIRBNB,LOGREG,5,0.8172,0.8069968553459119,0.827572347266881,1.0,0.8183624801271859,0.8172495494296189,0.8236473402437635,0.8151346539060761,0.8348301800775018,1.0,0.8255156091513579,0.8236537057035961
AIRBNB,LOGREG,6,0.83,0.8512443438914027,0.8471937730438345,1.0,0.8275310124049621,0.8303680818068432,0.8214603029957854,0.8685868586858686,0.8306341552179055,1.0,0.8233119152293991,0.8214495123628549
AIRBNB,LOGREG,7,0.8266,0.816374269005848,0.8425070309361189,0.8120270808442851,0.8286899822169533,0.8266696843250886,0.8223487868777765,0.816148512636994,0.8319959879638916,0.8086608077956378,0.8239570164348925,0.8223547172641278
AIRBNB,LOGREG,avg,0.8236285714285714,0.8271823871316799,0.8361341910455652,0.8302895829777549,0.8237510116539729,0.8238208933621465,0.8219777716303515,0.8331919928247408,0.8331468737470031,0.8298086868279483,0.8236593585630053,0.8219695775043182
AIRBNB,PERC,1,0.7462,0.6807836358398156,0.6281792490916431,0.5608402695204122,0.7103401049988587,0.7451241073044421,0.7375783118806242,0.6808223684210526,0.6238950150369088,0.5579297462298966,0.7039045831940981,0.7375705427364597
AIRBNB,PERC,2,0.7936,0.7518684603886397,0.7728006456820016,0.8013481363996828,0.7877416700946112,0.7934185623334671,0.7951475111060485,0.7485479289439098,0.7776714513556618,0.7993621867881548,0.7914850199424914,0.7951455206664414
AIRBNB,PERC,3,0.7628,0.5797062023939065,0.9661086157615352,0.7514700117600941,0.7500396259312093,0.7658196635111668,0.7696548581843035,0.5919312572368822,0.9689178119595886,0.7438529264175905,0.7552142451759364,0.7694778986327228
AIRBNB,PERC,4,0.7642,0.7079100145137881,0.6083972547436415,0.4304399524375743,0.7188170760791797,0.7627796816722566,0.7543455974484565,0.7180855499041108,0.5921808074364349,0.4352362294409768,0.7067845003399048,0.7543345150672539
AIRBNB,PERC,5,0.5024,0.8052360174533915,0.7303054662379421,0.8045382165605095,0.0,0.5,0.5002847704749972,0.8134622269960616,0.7402780943697287,0.810200364298725,0.0,0.5
AIRBNB,PERC,6,0.7598,0.6937799043062199,0.9360917656698076,0.6498632278233685,0.7785358657569611,0.7622210866564242,0.7509511333864904,0.7017904998640618,0.9352652169957236,0.6496143841555241,0.7738144500537948,0.7507940942441165
AIRBNB,PERC,7,0.7036,0.6922489499809087,0.3503415026114905,0.5527678215850259,0.4757228587015821,0.7037086637997312,0.7068458822189315,0.6951524022731187,0.35802863134859125,0.5588543326806612,0.4834846852393412,0.7068639042378095
AIRBNB,PERC,avg,0.7189428571428571,0.7016475978395242,0.7131749285425802,0.6501810908695239,0.6030281716517717,0.7190102521824983,0.7164011520999789,0.7071131762341711,0.7137481469289483,0.6507214528587898,0.6020982119922238,0.7163123536549719
AIRBNB,KNN,1,0.8382,0.8540996784565916,0.8578926120306822,0.8735632183908046,0.8390049751243781,0.8383169551470837,0.8256976876637431,0.8252871459296206,0.8416112275585528,0.8197639983598342,0.8283567021873247,0.8256987502867854
